algo; instSize; corrInst; HV; time; alpha;
FRRMAB; 500; neg05; 34351929784.000000; 77.942706; null;
FRRMAB; 500; neg02; 36808620905.000000; 60.412067; null;
FRRMAB; 500; 0; 43734232861.000000; 59.799980; null;
FRRMAB; 500; pos02; 52599266344.000000; 61.949066; null;
FRRMAB; 500; pos05; 57365565189.000000; 59.771348; null;
FRRMAB; 1000; neg05; 180182377319.000000; 371.609585; null;
FRRMAB; 1000; neg02; 187913430452.000000; 233.583524; null;
FRRMAB; 1000; 0; 232377434000.000000; 224.418515; null;
FRRMAB; 1000; pos02; 329246510180.000000; 223.091228; null;
FRRMAB; 1000; pos05; 342591968522.000000; 221.277329; null;
FRRMAB; 2000; neg05; 932908410077.000000; 1157.931650; null;
FRRMAB; 2000; neg02; 907760040406.000000; 865.677605; null;
FRRMAB; 2000; 0; 809599443297.000000; 865.961199; null;
FRRMAB; 2000; pos02; 1535364195271.000000; 858.209313; null;
FRRMAB; 2000; pos05; 2063756083685.000000; 858.902214; null;
